category,name
fantasy_factions,Thunder Spear Lorien
fantasy_factions,The Fallen Warden of Harrow
fantasy_factions,The Verdant Thorn of Stonehelm
fantasy_factions,The Cracked Banner of Lowgate
fantasy_factions,Silent Hollow Helix
fantasy_factions,The Verdant Thorn of Southport
fantasy_factions,The Last Beacon of Redshore
fantasy_factions,The Ironclad Serpent of Ner 36
fantasy_races,SalOreus
fantasy_factions,The Shattered Crest of Rivermark
fantasy_races,SalEshQuilar
fantasy_factions,The Silent Beacon of Alder
sci_fi,Obsidian Harbor Bright for the Warden
fantasy_factions,The Brave Keep of Sable
sci_fi,InRethar
real_inspired,Sun Citadel Mire
fantasy_factions,The Cracked Thorn of Elden
fantasy_factions,The Brave Coven of Bright 94
sci_fi,Sun Briar Fall
fantasy_factions,VeInSalVela
fantasy_races,MarRethVerVer
fantasy_factions,The Verdant Serpent of Ner
fantasy_factions,Shadow Hollow Novae and the Pelor
fantasy_factions,The Cracked Harbor of Tarn
fantasy_factions,The Hidden Spear of Elden
fantasy_factions,The Noble Vanguard of Rhon
fantasy_races,VerReth
sci_fi,EshDorYsMaron
fantasy_factions,The Ancient Beacon of Orin
fantasy_factions,The Ancient Beacon of Harrow
real_inspired,Feral Coven Strata
sci_fi,Dawn Eclipse Orbital
sci_fi,NarThInus
sci_fi,EshElInNaron
fantasy_factions,The Glinting Forge of Highmere
fantasy_factions,VerZaAn
fantasy_races,RethRaus
fantasy_factions,ZaVerQuil
real_inspired,Sun Keep Orbital
fantasy_factions,The Cracked Citadel of Harrow
sci_fi,Silver Vanguard Southport
sci_fi,MarDorVelia
fantasy_factions,The Verdant Briar of Pelor
fantasy_factions,The Verdant Banner of Northreach
sci_fi,Storm Spear Pulse
sci_fi,Moon Harbor Novae
real_inspired,Thunder Warden Alder
fantasy_factions,SalKaVer
fantasy_factions,The Verdant Grove of Fall
real_inspired,Azure Banner Harrow
fantasy_factions,Feral Crest Aegis
fantasy_factions,The Glinting Banner of Quill
sci_fi,Radiant Forge Zeph
fantasy_factions,The Obscure Spear of Highmere
sci_fi,Crimson Crest Aegis
sci_fi,Thunder Beacon Silverfield
fantasy_factions,The Eternal Coven of Elden
fantasy_factions,The Shattered Lotus of Umbra
fantasy_factions,Thunder Phoenix Zenith
fantasy_factions,Silver Spear Quill
sci_fi,Autumn Vanguard Zenith
real_inspired,Radiant Phoenix Rhon
sci_fi,Obsidian Citadel Pulse
real_inspired,Silent Coven Lowgate
fantasy_races,EshNarSalEsheus
fantasy_races,ThEshMaron
real_inspired,Sun Beacon Aegis
fantasy_factions,The Ancient Lotus of Stonehelm
fantasy_factions,Star Warden Northreach
fantasy_factions,VeShiShiThia
sci_fi,Golden Lotus Tarn
sci_fi,Silent Beacon Southport
fantasy_races,MarVelKaIna
fantasy_races,TarInZa
fantasy_factions,The Ironclad Hollow of Tarn
sci_fi,RaZaa
fantasy_factions,Golden Lotus Westfold
sci_fi,DorTarElQuilia
fantasy_factions,The Last Forge of Orin
fantasy_factions,Golden Briar Pulse for the Serpent
fantasy_factions,OrZa
sci_fi,QuilGonVereus
fantasy_races,IonSalUrSal
sci_fi,Silent Citadel Mire
fantasy_races,DorMar
fantasy_factions,The Glinting Forge of Bright
real_inspired,Iron Grove Stonehelm
fantasy_races,KaEshYsUr
fantasy_races,TarRaEl
sci_fi,Star Dragon Rhon
fantasy_factions,TarThNara
fantasy_factions,The Shattered Harbor of Galen
fantasy_factions,The Shattered Dragon of Northreach
real_inspired,Silver Hollow Pelor
fantasy_factions,The Brave Beacon of Goldcrest
fantasy_factions,SalMiNar
fantasy_factions,The Brave Hammer of Galen
fantasy_races,KaRaQuilUr
real_inspired,Silver Citadel Westfold
fantasy_factions,Dawn Forge Harrow
fantasy_factions,The Silent Grove of Westfold
real_inspired,Star Spear Helix
fantasy_factions,The Forsaken Briar of Silverfield
fantasy_factions,Silent Spear Ner
fantasy_factions,SalGonia
fantasy_factions,The Forsaken Beacon of Rivermark
fantasy_factions,The Brave Serpent of Sable
sci_fi,Moon Eclipse Umbra
sci_fi,IonVela
sci_fi,VelTar
fantasy_factions,The Hidden Briar of Lowgate
sci_fi,InOrMarZa
sci_fi,NarMarar
sci_fi,Storm Thorn Lowgate
fantasy_factions,The Verdant Harbor of Stonehelm
fantasy_races,LoEshZaia
sci_fi,Winter Dragon Elden
fantasy_factions,The Ancient Watch of Elden
sci_fi,Dawn Keep Rivermark
fantasy_factions,LoNarDor
fantasy_factions,Obsidian Watch Zenith
fantasy_factions,The Glinting Grove of Yar
sci_fi,ShiAnDorIon
fantasy_factions,Storm Beacon Quantum for the Rivermark
fantasy_factions,The Last Forge of Bright for the Quill
fantasy_races,ElNarMiIon
fantasy_factions,Winter Citadel Aegis
fantasy_factions,AnQuilAnKaar
sci_fi,Moon Spear Eastmarch
sci_fi,Golden Crest Ironhold
fantasy_factions,The Ancient Harbor of Wyr
fantasy_races,LoLoShiSalar
fantasy_factions,Autumn Hollow Celest
fantasy_factions,The Ironclad Beacon of Mire
sci_fi,Emerald Beacon Zenith for the Hollow
fantasy_races,YsElEshKa
sci_fi,ZaQuil
fantasy_races,ShiLoGon
fantasy_factions,The Verdant Vanguard of Rivermark and the Wyr
real_inspired,Silent Dragon Orin
sci_fi,Dusk Wolf Westfold 22
sci_fi,Golden Crest Epoch
fantasy_factions,The Hidden Raven of Silverfield
real_inspired,Azure Forge Redshore and the Hollow
fantasy_factions,VerTar
fantasy_factions,The Hidden Keep of Ironhold
fantasy_factions,Dawn Eclipse Harrow
fantasy_factions,The Forsaken Banner of Galen
fantasy_factions,ZaRaRaar
fantasy_factions,The Silent Eclipse of Mire
fantasy_factions,Storm Spear Epoch
fantasy_factions,The Forsaken Phoenix of Mire
fantasy_factions,Star Eclipse Silverfield
fantasy_factions,Obsidian Wolf Zenith 84
sci_fi,Verdant Keep Highmere
fantasy_factions,The Last Harbor of Mire
real_inspired,Thunder Citadel Beacon
sci_fi,Autumn Harbor Quantum
fantasy_factions,The Obscure Thorn of Tarn
real_inspired,Azure Wolf Galen
fantasy_factions,The Eternal Forge of Ner
fantasy_factions,DorLoInia
fantasy_factions,The Hidden Hollow of Quill
fantasy_races,VelLoRaIn
fantasy_factions,The Forsaken Raven of Ithil
fantasy_factions,The Eternal Beacon of Lorien
fantasy_factions,Sacred Watch Rivermark
fantasy_factions,IonLo
fantasy_factions,The Noble Banner of Wyr and the Rhon
fantasy_factions,The Glinting Dragon of Mire
fantasy_factions,MiVerAnZa
fantasy_factions,The Obscure Eclipse of Northreach
fantasy_factions,The Forsaken Beacon of Xan
real_inspired,Radiant Beacon Southport
sci_fi,Winter Thorn Silverfield
sci_fi,GonShiElDorar
fantasy_factions,MiVerar
fantasy_factions,ThGonGon
fantasy_races,VeQuilShiEl
fantasy_factions,The Ancient Banner of Ner
fantasy_factions,Dawn Coven Quantum of the Wolf 3
sci_fi,Feral Wolf Tarn
fantasy_factions,The Last Spear of Stonehelm 85
fantasy_factions,The Forsaken Phoenix of Lowgate
real_inspired,Radiant Serpent Orbital
fantasy_factions,The Brave Eclipse of Alder
fantasy_factions,The Last Grove of Rhon
fantasy_factions,Dawn Hollow Ner
sci_fi,Dusk Vanguard Lowgate
real_inspired,Verdant Eclipse Galen of the Rivermark
fantasy_factions,The Noble Warden of Quill 56
sci_fi,InAnVerar
fantasy_races,VeDor
fantasy_factions,Winter Wolf Highmere
sci_fi,Sacred Hammer Elden
fantasy_factions,TarYsMaria
real_inspired,Golden Hollow Korr
fantasy_factions,OrNarSal
fantasy_factions,The Eternal Spear of Wyr
fantasy_races,GonVerInIonia
real_inspired,Obsidian Phoenix Bright
fantasy_factions,Golden Coven Ironhold
fantasy_factions,The Hidden Raven of Umbra
sci_fi,Azure Forge Ner of the Forge
fantasy_factions,The Obscure Grove of Fall
fantasy_factions,RaRaYson
fantasy_races,EshYsOrYsus
fantasy_factions,The Ironclad Harbor of Bright
fantasy_factions,The Ironclad Hammer of Quill
real_inspired,Moon Vanguard Zenith of the Lorien
fantasy_factions,Radiant Watch Bright
real_inspired,Sacred Keep Zeph
real_inspired,Sun Harbor Ner
sci_fi,Radiant Harbor Eastmarch
real_inspired,Dusk Forge Southport
sci_fi,Dusk Raven Alder
fantasy_factions,The Glinting Eclipse of Yar 38
